State,year,ev_station_count,Carbon monoxide,Ozone,PM2.5 - Local Conditions
IN,2023,141,,0.045966532051282,10.069142659574467
KS,2014,15,0.2660155,0.0463813833333333,8.966299999999999
KS,2015,16,,0.0440564318181818,7.752043545454546
KS,2016,31,,0.0440739423076923,6.8100810813008135
KS,2017,25,,0.0426840277777777,7.813814551181102
KS,2018,12,,0.0432320277777777,8.066808684210526
KS,2019,30,,0.0420322222222222,8.002371775
KS,2020,10,,0.04055175,7.513022242774567
KS,2021,196,,0.0436023888888888,9.716021696202532
KS,2022,45,,0.0456563333333333,8.599241375886525
KS,2023,77,,0.0482596111111111,8.241397114864865
KY,2014,1,0.321153125,0.0441719354838709,10.557811919003116
KY,2015,6,,0.0434744567307692,9.3869947942029
KY,2016,11,,0.0437833083333333,8.328173511848341
KY,2017,21,,0.0428992333333333,8.216139852398523
KY,2018,14,,0.0421028333333333,8.358168358208955
KY,2019,17,,0.0439420862068965,8.203924102608696
KY,2020,26,,0.0394882068965517,7.558752656387665
KY,2021,50,,0.0414436034482758,8.957114366666666
KY,2022,49,,0.043198,7.893187473815462
KY,2023,58,,0.0458227432432432,8.56344741495778
LA,2014,3,0.2634625,0.0384057291666666,8.461932928104575
LA,2015,8,,0.0387011704545454,8.694529482758622
LA,2016,10,,0.0398130113636363,8.295277551724139
LA,2017,20,,0.0385630833333333,8.452456020689656
LA,2018,13,,0.0378848977272727,8.552131648275862
LA,2019,8,,0.0382613636363636,8.204683875862068
LA,2020,13,,0.0363048402777777,7.844254882758621
LA,2021,15,,0.0370174431818181,7.680998695121952
LA,2022,50,,0.039505375,8.396882651376147
LA,2023,69,,0.0416692573529411,8.900698029545454
MA,2014,18,0.2594253571428571,0.0408885921052631,6.235457286956522
MA,2015,35,,0.042070375,6.342684604938272
MA,2016,23,,0.0431299,6.017269954022988
MA,2017,16,,0.04168665625,5.969779034482758
MA,2018,61,,0.0411741617647058,6.140164637010677
MA,2019,122,,0.0416464852941176,6.02828187012987
MA,2020,339,,0.0398967058823529,6.708099265060241
MA,2021,977,,0.0397558194444444,7.277074418502203
MA,2022,528,,0.0412208333333333,6.364335817955113
MA,2023,558,,0.0419888333333333,7.153238509219858
MD,2014,21,0.2110225833333333,0.0460337875,8.807914337078651
MD,2015,55,,0.0474603125,9.063988142857143
MD,2016,67,,0.0475531059322033,7.730636019512195
MD,2017,60,,0.04529275,7.631871096969697
MD,2018,100,,0.0442081624999999,7.206152853503185
MD,2019,94,,0.0465767875,7.037037769784172
MD,2020,133,,0.0411935125,6.018354375796178
MD,2021,307,,0.0448155875,7.262253733812949
MD,2022,277,,0.0439232,6.43654850955414
MD,2023,336,,0.0468498275862069,7.574114896882494
ME,2014,14,0.197711,0.0371338055555555,7.132360634920635
ME,2015,30,,0.0373002083333333,6.738458904191616
ME,2016,36,,0.0367044375,5.910528004950495
ME,2017,18,,0.037264609375,5.793225018181818
ME,2018,20,,0.038409609375,5.297343118918919
ME,2019,22,,0.03711253125,5.005579345360825
ME,2020,28,,0.036403078125,5.115284039735099
ME,2021,65,,0.03670146875,5.34208674074074
ME,2022,111,,0.0370800625,4.258953951724138
ME,2023,88,,0.0377061166666666,5.873083294117647
MI,2014,20,0.2861776875,0.0446393333333333,9.065281424710426
MI,2015,17,,0.0448872416666666,9.025338883895133
MI,2016,31,,0.045106453125,7.964643105072463
MI,2017,29,,0.042062046875,7.975317199275362
MI,2018,54,,0.0421432972972972,8.804743980392157
MI,2019,56,,0.040441,8.114057328185329
MI,2020,72,,0.0404662844827586,8.499453945288755
MI,2021,270,,0.0423475344827586,9.18159838790932
MI,2022,377,,0.0417035887096774,8.671873261702128
MI,2023,336,,0.0440857027027027,10.688984803149603
MN,2014,10,0.15521,0.037660294117647,7.564426253125001
MN,2015,17,,0.0388931176470588,6.993942391304348
MN,2016,20,,0.0352764705882353,5.894768778145695
MN,2017,36,,0.0375556176470588,6.167894367549669
MN,2018,48,,0.0382982352941176,6.838402740625
MN,2019,53,,0.0371153970588235,6.423204171875
MN,2020,63,,0.0370151323529411,6.096140039370079
MN,2021,134,,0.0400194558823529,7.695578645669292
MN,2022,109,,0.0391640147058823,5.656625272340426
MN,2023,155,,0.0436201911764705,8.086333280146164
MO,2014,6,0.2700171666666667,0.0439997826086956,10.230438554140129
MO,2015,44,,0.0428305869565217,9.27880273493976
MO,2016,44,,0.0422447010869565,7.992161302013423
MO,2017,103,,0.0447811195652173,8.17321953691275
MO,2018,30,,0.0444076931818181,8.589719545454546
MO,2019,42,,0.0431523693181818,8.426052941747573
MO,2020,78,,0.0399682613636363,8.547515399159664
MO,2021,463,,0.0424913693181818,8.794568575342465
MO,2022,99,,0.0444770852272727,8.131870291828793
MO,2023,223,,0.0475356076388888,9.273932746963563
MS,2014,1,0.2244459999999999,0.041133925,
MS,2015,2,,0.039632875,8.794822818181817
MS,2016,6,,0.0420899,8.1989092
MS,2017,16,,0.039390275,8.248205899999999
MS,2018,8,,0.0410907499999999,8.296319275
MS,2019,10,,0.041059525,8.362591232142856
MS,2020,14,,0.03757715,8.63042350595238
MS,2021,7,,0.038962225,8.493884738095238
MS,2022,16,,0.0416875249999999,8.547099702380953
MS,2023,45,,0.0452947749999999,9.979992964285714
MT,2014,4,0.13155925,0.03993471875,6.531026524390244
MT,2015,8,,0.04145046875,8.032821170560748
MT,2016,8,,0.0399133125,6.119798367713004
MT,2017,6,,0.04491925,8.727802795454545
MT,2018,10,,0.0439346875,6.6902141137254905
MT,2019,5,,0.0417543928571428,5.726718152173913
MT,2020,13,,0.0424804375,5.917767468627451
MT,2021,8,,0.04655915625,8.83022420283019
MT,2022,31,,0.04318790625,7.429622740566038
MT,2023,29,,0.044998125,7.461997506276151
