State,year,Carbon monoxide,Ozone,PM2.5 - Local Conditions
MA,2019,,0.04164648529411765,6.02828187012987
MA,2020,,0.03989670588235294,6.708099265060241
MA,2021,,0.039755819444444444,7.2770744185022025
MA,2022,,0.04122083333333334,6.364335817955113
MA,2023,,0.041988833333333336,7.153238509219858
MD,2014,0.21102258333333335,0.0460337875,8.807914337078651
MD,2015,,0.047460312500000004,9.063988142857143
MD,2016,,0.04755310593220339,7.730636019512195
MD,2017,,0.04529275,7.631871096969697
MD,2018,,0.044208162499999995,7.206152853503185
MD,2019,,0.0465767875,7.037037769784172
MD,2020,,0.0411935125,6.018354375796178
MD,2021,,0.0448155875,7.262253733812949
MD,2022,,0.0439232,6.43654850955414
MD,2023,,0.0468498275862069,7.574114896882494
ME,2014,0.197711,0.03713380555555555,7.132360634920635
ME,2015,,0.037300208333333335,6.738458904191616
ME,2016,,0.0367044375,5.910528004950495
ME,2017,,0.037264609375,5.793225018181818
ME,2018,,0.038409609375,5.297343118918919
ME,2019,,0.03711253125,5.005579345360825
ME,2020,,0.036403078125,5.115284039735099
ME,2021,,0.03670146875,5.34208674074074
ME,2022,,0.0370800625,4.258953951724138
ME,2023,,0.037706116666666664,5.873083294117647
MI,2014,0.2861776875,0.044639333333333336,9.065281424710426
MI,2015,,0.04488724166666667,9.025338883895131
MI,2016,,0.045106453125,7.964643105072463
MI,2017,,0.042062046875,7.975317199275362
MI,2018,,0.042143297297297294,8.804743980392157
MI,2019,,0.040441000000000005,8.114057328185329
MI,2020,,0.04046628448275862,8.499453945288755
MI,2021,,0.042347534482758624,9.18159838790932
MI,2022,,0.04170358870967742,8.671873261702128
MI,2023,,0.0440857027027027,10.688984803149605
MN,2014,0.15521000000000001,0.03766029411764706,7.564426253125001
MN,2015,,0.03889311764705882,6.993942391304348
MN,2016,,0.0352764705882353,5.894768778145695
MN,2017,,0.03755561764705882,6.167894367549669
MN,2018,,0.03829823529411765,6.838402740625
MN,2019,,0.03711539705882353,6.423204171875
MN,2020,,0.037015132352941175,6.096140039370079
MN,2021,,0.04001945588235294,7.695578645669292
MN,2022,,0.03916401470588235,5.656625272340426
MN,2023,,0.04362019117647059,8.086333280146164
MO,2014,0.2700171666666667,0.04399978260869565,10.230438554140129
MO,2015,,0.04283058695652174,9.27880273493976
MO,2016,,0.04224470108695652,7.992161302013423
